id,condominio,anunciante,num_suites,num_vagas,num_quartos,area,rua,regiao,descricao,tipo_imovel,localidade,bairro,preco
2120,0.0,FUHRO SOUTO IMOBILIARIA,0.0,0.0,5.0,210.0,Rua General Telles,RS,"CENTRAL SOBRADO NA TELLES: 5 dorms, sala, copa, cozinha, 2 wc, garagem, churrasqueira, pátio. R$400.000",Casa,Pelotas,Centro,400000
2121,0.0,MARQUES IMÓVEIS,1.0,2.0,3.0,173.0,,RS,"Sobrado COLINA DO SOL com 3 Dormitórios, sendo 1 Suíte, Closet, Sala estar, Cozinha planejada, Área serviço, 2 Banheiros, 2 Vagas na Garagem...",Casa,Pelotas,Zona Norte,615000
2122,0.0,FUHRO SOUTO IMOBILIARIA,0.0,0.0,0.0,277.0,Rua Barão de Santa Tecla,RS,"CENTRAL RUA ASFALTADA: medindo 12,30x22,50, frente leste, imediações da Beneficiência Portuguesa, escriturado, financiável. R$.75.000 15513",Terreno Padrão,Pelotas,Centro,75000
2123,270.0,MARQUES IMÓVEIS,1.0,1.0,2.0,54.0,,RS,"Apto ZONA NORTE 2 Dormitórios (Sendo 1 c/ Suíte), Esta social, Cozinha, Área serviço, Banheiro Social, Elevador, Garagem. Preço: R$ 318.000,...",Apartamento,Pelotas,Areal,318000
2124,185.0,MAP Corretores de Imóveis,0.0,0.0,2.0,57.0,Avenida Juscelino Kubitschek Oliveira,RS,"Excelente apartamento, condomínio fechado. Portaria 24 horas. Financia.",Apartamento,Pelotas,Centro,195000
2125,100.0,Marcelo Karam Nogueira,0.0,1.0,1.0,44.0,Rua Cel Alberto Rosa,RS,"Loft, projeto moderno, localização excepcional próximo à UCPel e UFPel. Churrasqueira privativa, cozinha americana e vídeo porteiro. Possibi...",Loft,Pelotas,Centro,179000
2126,0.0,Proper Consultoria Imobiliaria,1.0,2.0,3.0,215.0,,RS,"VILA ASSUMPÇÃO: residência ampla, bonita construção, 3 dormitórios (1 suíte),5 banheiros, closet, living, estar, jantar, lareiras, tábua cor...",Casa,Pelotas,Vila Assunção,700000
2127,52.0,REQUINTE IMÓVEIS,0.0,1.0,2.0,47.0,Rua Henrique Dias,RS,"4966 - Requinte Oferece: Apartamento térreo, em ótimo estado, no fragata, próximo á Duque de Caxias, 2 dormitórios, sala de estar e  cozinha...",Apartamento,Pelotas,Fragata,120000
2128,0.0,PELOTA NEGÓCIOS IMOBILIÁRIOS,0.0,0.0,2.0,52.0,,RS,"Casa na planta no Sitio Floresta, com 2 quartos, sala, cozinha e banheiro, terreno medindo 6 x 29.",Casa,Pelotas,Sítio Floresta,128000
2129,0.0,Oleiro Alves Imóveis,0.0,1.0,3.0,106.0,,RS,"ótimo chalé, super bem localizado no Bairro, rua sem saída, ótimo terreno.",Casa,Pelotas,Umuharama,180000
2130,0.0,REQUINTE IMÓVEIS,1.0,1.0,3.0,75.0,Novo Humuarama Rua Um,RS,4910- Casa no Areal próximo ao Shopping com 3 dormitórios.,Casa,Pelotas,Areal,310000
